Genes	ENTREZ_ID	Genes
MROH1	727957	MROH1
RHOXF2B	727940	RHOXF2B
GXYLT2	727936	GXYLT2
TLCD2	727910	TLCD2
GOLGA8Q	727909	GOLGA8Q
SPATA31A5	727905	SPATA31A5
MUC5B	727897	MUC5B
FAM156B	727866	FAM156B
BHLHA9	727857	BHLHA9
RGPD8	727851	RGPD8
SSX2B	727837	SSX2B
GOLGA6L6	727832	GOLGA6L6
SPATA31A3	727830	SPATA31A3
RNF208	727800	RNF208
C1orf195	727684	C1orf195
INS-IGF2	723961	INS-IGF2
HIST2H2AA4	723790	HIST2H2AA4
PPAN-P2RY11	692312	PPAN-P2RY11
MSMP	692094	MSMP
TMEM78	677790	TMEM78
PCP4L1	654790	PCP4L1
IQCJ	654502	IQCJ
BOLA2B	654483	BOLA2B
FER1L6	654463	FER1L6
LRTM2	654429	LRTM2
NME1-NME2	654364	NME1-NME2
LGALS9C	654346	LGALS9C
ZNF732	654254	ZNF732
OCM	654231	OCM
ACTR3C	653857	ACTR3C
FAM72B	653820	FAM72B
ZG16	653808	ZG16
MZT2A	653784	MZT2A
POTEJ	653781	POTEJ
GOLGA8M	653720	GOLGA8M
GSTT2B	653689	GSTT2B
MBD3L3	653657	MBD3L3
MBD3L4	653656	MBD3L4
GOLGA6D	653643	GOLGA6D
GOLGA6C	653641	GOLGA6C
HIST2H3D	653604	HIST2H3D
PPIAL4C	653598	PPIAL4C
PHLDB3	653583	PHLDB3
TMEM236	653567	TMEM236
TP53TG3C	653550	TP53TG3C
GPR89A	653519	GPR89A
SFTPA1	653509	SFTPA1
LGALS7B	653499	LGALS7B
RGPD3	653489	RGPD3
SCGB1C2	653486	SCGB1C2
SRGAP2C	653464	SRGAP2C
AQP12B	653437	AQP12B
FOXD4L5	653427	FOXD4L5
SPAG11A	653423	SPAG11A
FOXD4L6	653404	FOXD4L6
NCF1	653361	NCF1
FAM86B2	653333	FAM86B2
KIAA0895L	653319	KIAA0895L
FAM153C	653316	FAM153C
ASAH2B	653308	ASAH2B
CT47A7	653282	CT47A7
CFC1B	653275	CFC1B
POTEI	653269	POTEI
PRB2	653247	PRB2
KRTAP4-11	653240	KRTAP4-11
XAGE1A	653220	XAGE1A
NBPF6	653149	NBPF6
ANXA8	653145	ANXA8
FAM228A	653140	FAM228A
GOLGA8K	653125	GOLGA8K
ZBTB8A	653121	ZBTB8A
ZDHHC11B	653082	ZDHHC11B
GOLGA8T	653075	GOLGA8T
GOLGA8J	653073	GOLGA8J
XAGE1B	653067	XAGE1B
GOLGA8S	653061	GOLGA8S
SKOR2	652991	SKOR2
ANKRD33B	651746	ANKRD33B
HNRNPCL3	649330	HNRNPCL3
ZSCAN5C	649137	ZSCAN5C
PPP1R3G	648791	PPP1R3G
ANHX	647589	ANHX
TEX22	647310	TEX22
GMNC	647309	GMNC
RD3L	647286	RD3L
ASCL5	647219	ASCL5
SERPINE3	647174	SERPINE3
SRGAP2B	647135	SRGAP2B
SPATA31A1	647060	SPATA31A1
GOLGA6L10	647042	GOLGA6L10
C6orf132	647024	C6orf132
HRCT1	646962	HRCT1
PRSS56	646960	PRSS56
SH2D7	646892	SH2D7
RNF225	646862	RNF225
FAM227A	646851	FAM227A
SETSIP	646817	SETSIP
ZAR1L	646799	ZAR1L
TRIM64C	646754	TRIM64C
SYNDIG1L	646658	SYNDIG1L
SBK2	646643	SBK2
LYPD8	646627	LYPD8
URAD	646625	URAD
C4orf51	646603	C4orf51
C3orf84	646498	C3orf84
FABP12	646486	FABP12
FABP9	646480	FABP9
C19orf67	646457	C19orf67
ARIH2OS	646450	ARIH2OS
SPINK8	646424	SPINK8
LACTBL1	646262	LACTBL1
C16orf90	646174	C16orf90
CBY3	646019	CBY3
NAP1L6	645996	NAP1L6
PABPC1L2B	645974	PABPC1L2B
S100A7L2	645922	S100A7L2
MAGEB17	645864	MAGEB17
TXNRD3NB	645840	TXNRD3NB
USP17L3	645836	USP17L3
SEBOX	645832	SEBOX
CCDC154	645811	CCDC154
MT1HL1	645745	MT1HL1
ARRDC5	645432	ARRDC5
PRAMEF20	645425	PRAMEF20
PRAMEF19	645414	PRAMEF19
USP17L4	645402	USP17L4
TMEM200C	645369	TMEM200C
PRAMEF26	645359	PRAMEF26
LINGO3	645191	LINGO3
PPIAL4D	645142	PPIAL4D
CCNI2	645121	CCNI2
CLRN2	645104	CLRN2
GAGE12G	645073	GAGE12G
GAGE13	645051	GAGE13
EVPLL	645027	EVPLL
SMIM23	644994	SMIM23
ALG1L2	644974	ALG1L2
RASSF10	644943	RASSF10
MEIG1	644890	MEIG1
PHGR1	644844	PHGR1
FAM83G	644815	FAM83G
CLDN25	644672	CLDN25
FAM231D	644634	FAM231D
PPIAL4G	644591	PPIAL4G
SMIM10	644538	SMIM10
NKX2-4	644524	NKX2-4
ZCCHC18	644353	ZCCHC18
SYCE3	644186	SYCE3
DRGX	644168	DRGX
WIPF3	644150	WIPF3
PIRT	644139	PIRT
SDHAF1	644096	SDHAF1
FAM25C	644054	FAM25C
C18orf63	644041	C18orf63
TMEM88B	643965	TMEM88B
PRR21	643905	PRR21
RNF222	643904	RNF222
CBLN3	643866	CBLN3
CTAGE9	643854	CTAGE9
TMPPE	643853	TMPPE
PGA4	643847	PGA4
ZFP62	643836	ZFP62
PGA3	643834	PGA3
KRTAP27-1	643812	KRTAP27-1
KRTAP24-1	643803	KRTAP24-1
GOLGA6L4	643707	GOLGA6L4
GOLGA8N	643699	GOLGA8N
MS4A4E	643680	MS4A4E
CCDC168	643677	CCDC168
CCER2	643669	CCER2
SLC35G6	643664	SLC35G6
ZNF862	643641	ZNF862
RNF224	643596	RNF224
FAM25E	643479	FAM25E
LIPN	643418	LIPN
LIPK	643414	LIPK
SPINK9	643394	SPINK9
TMEM253	643382	TMEM253
BTBD18	643376	BTBD18
C15orf62	643338	C15orf62
CT47B1	643311	CT47B1
MAP1LC3B2	643246	MAP1LC3B2
TMEM72	643236	TMEM72
GRXCR2	643226	GRXCR2
FAM25A	643161	FAM25A
SMIM15	643155	SMIM15
SMIM5	643008	SMIM5
TMEM232	642987	TMEM232
FAM163B	642968	FAM163B
FAM196A	642938	FAM196A
CPSF4L	642843	CPSF4L
ZNF487	642819	ZNF487
NPIPA2	642799	NPIPA2
DNAH10OS	642797	DNAH10OS
NPIPA3	642778	NPIPA3
SCX	642658	SCX
RAD21L1	642636	RAD21L1
UBTFL1	642623	UBTFL1
TRIM49C	642612	TRIM49C
FKBP1C	642489	FKBP1C
MROH6	642475	MROH6
TRIM64B	642446	TRIM64B
FAM110C	642273	FAM110C
ECSCR	641700	ECSCR
HEPN1	641654	HEPN1
TMEM91	641649	TMEM91
POTEM	641455	POTEM
ACOT6	641372	ACOT6
ACOT1	641371	ACOT1
ZNF674	641339	ZNF674
MBOAT4	619373	MBOAT4
ZNF704	619279	ZNF704
FAM229B	619208	FAM229B
SERINC4	619189	SERINC4
HIGD1C	613227	HIGD1C
CTXN3	613212	CTXN3
DEFB134	613211	DEFB134
DEFB136	613210	DEFB136
